question_id,label,unknown
114678,non-suicidal-risk,0
116349,non-suicidal-risk,0
108590,non-suicidal-risk,0
100709,non-suicidal-risk,0
120766,non-suicidal-risk,0
126063,suicidal-risk,0
102524,non-suicidal-risk,0
113320,suicidal-risk,0
105981,non-suicidal-risk,0
120977,non-suicidal-risk,0
109347,non-suicidal-risk,0
115047,non-suicidal-risk,0
113915,non-suicidal-risk,0
123871,non-suicidal-risk,0
111339,non-suicidal-risk,0
112269,non-suicidal-risk,0
112264,non-suicidal-risk,0
118644,non-suicidal-risk,0
105827,non-suicidal-risk,0
119006,suicidal-risk,0
104472,non-suicidal-risk,0
114374,non-suicidal-risk,0
127075,non-suicidal-risk,0
112174,non-suicidal-risk,0
119909,suicidal-risk,0
116331,non-suicidal-risk,0
105713,non-suicidal-risk,0
117036,non-suicidal-risk,0
102450,non-suicidal-risk,0
116094,non-suicidal-risk,0
103011,non-suicidal-risk,0
125522,non-suicidal-risk,0
111372,non-suicidal-risk,0
117352,non-suicidal-risk,0
109978,non-suicidal-risk,0
114215,non-suicidal-risk,0
112449,non-suicidal-risk,0
122444,non-suicidal-risk,0
105672,non-suicidal-risk,0
100003,non-suicidal-risk,0
